playerId,Name,Sex,Equipment,Age,BodyweightKg,BestSquatKg,BestDeadliftKg
19391,Carlos Ceron,M,Raw,23,87,205,235
15978,Tito Herrera,M,Wraps,23,73,220,260
27209,Levi Lehman,M,Raw,26,112,143,220
27496,Stacy Hayford,F,Raw,35,59,95,103
20293,Brittany Hirt,F,Raw,27,61,105,128
25176,Zoran Jankovski,M,Wraps,23,114,260,285
128,Mitchell Hayes,M,Raw,23,91,163,200
28187,John Gibson,M,Raw,24,100,200,228
8022,Sakiko Ito,F,Single-ply,20,51,115,128
22487,Lorrie Bosen,F,Raw,54,65,73,115
22170,Joe Kiser,M,Wraps,28,73,158,205
23134,Eric Loyola,M,Raw,47,88,220,208
2669,Hevher Mendez,M,Raw,25,79,173,210
11339,Christopher Richards,M,Wraps,25,83,184,227
18805,Jamey Grotjahn,M,Raw,43,174,293,323
19429,Samyra Abweh,F,Raw,17,48,90,135
13458,Roque Domingues,M,Wraps,27,90,215,235
25933,Jessica Royse,F,Raw,38,106,103,140
24717,Geoffery Bennett,M,Raw,38,82,190,238
22540,Amber Damian,F,Raw,28,67,123,155
11734,Julio Serrano,M,Wraps,25,99,310,350
17062,Lauryn Cudworth,F,Raw,20,59,110,158
17970,Emily Rodriguez,F,Raw,19,47,85,115
10792,Katerina Skudrikova,F,Raw,19,82,110,135
13077,Andres Cuadros,M,Raw,20,92,198,235
13209,Jessica Thornton,F,Single-ply,15,66,105,123
11037,Dan Wyman,M,Wraps,47,99,204,204
10818,Alastair MacNicol,M,Raw,29,99,293,343
13014,Florian Loock,M,Raw,34,105,250,280
5151,Heidi Colvin,F,Single-ply,18,80,168,153
27078,Emily Boudreau,F,Wraps,20,62,98,125
20174,Yi Chen,F,Wraps,54,54,83,90
28349,Justin Dela Cruz,M,Raw,18,58,98,135
14634,Eulicez Gonzalez,M,Raw,19,57,143,183
26186,Caitlyn Cooper,F,Single-ply,19,65,145,135
3544,Geoffrey Stanford,M,Wraps,24,109,320,320
18886,Sheena Hodges,F,Raw,31,74,143,153
15238,Rebekah Shirley,F,Raw,20,54,93,128
7097,Justin Bennett,M,Wraps,26,109,255,303
27459,Darrell Brassell,M,Wraps,22,81,265,279
21454,Curt Shaver,M,Wraps,48,95,180,255
13940,Leland Tien,M,Wraps,31,134,284,318
3187,Aleksandr Kapturov,M,Raw,22,73,243,258
8550,Fulton White,M,Single-ply,52,74,205,235
2184,Nathan Morace,M,Raw,22,79,220,228
3487,Doug Owen,M,Wraps,18,107,225,268
5945,Tanner Madison,M,Wraps,16,56,160,168
20664,Sarah Horrox,F,Raw,21,84,145,160
26343,Mehar Bhogal,M,Single-ply,20,82,225,228
4073,David Herrera,M,Raw,30,81,275,323
6162,Vincent Casenove,M,Single-ply,44,73,220,230
23034,Cindy Meeker,F,Wraps,53,66,85,115
9651,Sean Cox,M,Raw,24,113,235,283
6242,Lynsey Johnson,F,Wraps,26,51,98,116
28845,Kylie Podeswa,F,Raw,18,62,110,115
2045,Harri Hagfors,M,Single-ply,56,92,253,265
2293,Cat Dupuis,F,Raw,35,82,140,165
20774,Richard Loza,M,Wraps,33,106,233,273
19406,Andrew Ronayne,M,Wraps,44,92,175,183
5833,Matt Livesay,M,Wraps,40,107,193,163
4770,Grady Gulbrandson,M,Single-ply,17,89,170,233
17711,Harby Limon,M,Raw,38,135,220,250
22489,Dillon Smith,M,Wraps,24,85,240,228
16467,Cara Westin,F,Single-ply,45,68,170,168
9409,Marianne Kosonen,F,Multi-ply,24,48,223,165
7859,Ryan Hammons,M,Raw,21,74,198,228
29807,April Ritenour,F,Raw,24,72,143,143
6053,William Ha,M,Raw,30,99,235,260
21349,Robb Grisham,M,Single-ply,0,112,160,155
11862,Magdalena Bialek,F,Single-ply,22,83,228,203
17023,Sam Hardy,M,Wraps,25,109,268,285
21958,Bill Newman,M,Single-ply,26,124,343,295
25613,Kenneth Cameron,M,Raw,38,108,225,278
20773,Phanetavanh Outhavong,F,Raw,35,71,140,158
3091,Micheal Seay,M,Raw,21,73,233,260
22733,Pam Windrum,F,Single-ply,28,95,180,160
18874,Gerald Dionio,M,Raw,21,58,178,233
21407,Joe Reinicke,M,Single-ply,18,78,222,229
29380,Anna Fetter,F,Raw,26,97,73,105
2178,Steve Stout,M,Single-ply,54,92,198,245
3331,Christian Fisher,M,Multi-ply,36,104,297,249
17834,Susan Bartley,F,Single-ply,40,80,138,168
12170,Chris Kessler,M,Wraps,31,90,183,208
